2020-03-13,3,Bursa Malaysia Construction  Stocks,5129,MELATI,0.440,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,8192,MERCURY,0.705,0.700,0.700,-0.005,-0.71,410
2020-03-13,3,Bursa Malaysia Construction  Stocks,7595,MGB,0.545,0.525,0.500,-0.045,-8.26,1,360
2020-03-13,3,Bursa Malaysia Construction  Stocks,9571,MITRA,0.225,0.215,0.215,-0.010,-4.44,39,410
2020-03-13,3,Bursa Malaysia Construction  Stocks,9571WD,MITRA-WD,0.005,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,9571WE,MITRA-WE,0.050,0.030,0.025,-0.025,-50.00,2,075
2020-03-13,3,Bursa Malaysia Construction  Stocks,5924,MTDACPI,0.120,0.120,0.115,-0.005,-4.17,168
2020-03-13,3,Bursa Malaysia Construction  Stocks,5085,MUDAJYA,0.295,0.295,0.280,-0.015,-5.08,15,174
2020-03-13,3,Bursa Malaysia Construction  Stocks,5703,MUHIBAH,1.190,1.160,1.040,-0.150,-12.61,19,223
2020-03-13,3,Bursa Malaysia Construction  Stocks,5703CK,MUHIBAH-CK,0.005,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,0206,NADIBHD,0.245,0.245,0.235,-0.010,-4.08,19,998
2020-03-13,3,Bursa Malaysia Construction  Stocks,7071,OCR,0.260,0.255,0.250,-0.010,-3.85,20,868
2020-03-13,3,Bursa Malaysia Construction  Stocks,7071PA,OCR-PA,0.020,0.020,0.020,0.000,0.00,49,991
2020-03-13,3,Bursa Malaysia Construction  Stocks,7071WC,OCR-WC,0.015,0.000,0.000,0.000,0.00,0
2020-03-13,3,Bursa Malaysia Construction  Stocks,7071WD,OCR-WD,0.040,0.030,0.035,-0.005,-12.50,2,589
2020-03-13,3,Bursa Malaysia Construction  Stocks,5622,PEB,0.750,0.750,0.750,0.000,0.00,50
2020-03-13,3,Bursa Malaysia Construction  Stocks,8311,PESONA,0.195,0.180,0.180,-0.015,-7.69,5,390
2020-03-13,3,Bursa Malaysia Construction  Stocks,5070,PRTASCO,0.215,0.215,0.215,0.000,0.00,4,507
